car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,fuel_type,seller_type,year,engine_mileage_ratio,power_engine_ratio,km_per_year,power_mileage_ratio
Maruti Wagon R,Maruti,Wagon R,14.0,37000,Manual,14.0,1061.0,64.0,5,155000,1,1,0,1,0,0,0,Cng,Dealer,2012.0,75.78571428571429,0.060320452403393024,2642.8571428571427,4.571428571428571
Maruti Swift Dzire,Maruti,Swift Dzire,5.0,47000,Manual,19.692493169398904,1248.0,74.0,5,545000,1,1,0,0,1,0,0,Diesel,Dealer,2021.0,63.37440309179978,0.05929487179487179,9400.0,3.7577771064047947
Honda City,Honda,City,8.0,70000,Manual,19.692493169398904,1497.0,116.3,5,545000,1,0,1,0,0,0,1,Petrol,Owner,2018.0,76.01881524713484,0.07768871075484302,8750.0,5.9058037496605085
Renault KWID,Renault,Kwid,5.0,25000,Manual,25.17,799.0,53.3,5,240000,1,0,1,0,0,0,1,Petrol,Owner,2021.0,31.744139849026617,0.06670838548185232,5000.0,2.1176003178386966
Maruti Vitara,Maruti,Vitara,3.0,26000,Manual,24.3,1248.0,100.59431352459016,5,725000,1,1,0,0,1,0,0,Diesel,Dealer,2023.0,51.358024691358025,0.0806044178882934,8666.666666666666,4.139683684139513
Ford Aspire,Ford,Aspire,4.0,30000,Manual,19.692493169398904,1196.0,100.59431352459016,5,480000,1,0,1,0,0,0,1,Petrol,Owner,2022.0,60.73380296297479,0.08410895779648007,7500.0,5.108256870232583
Hyundai i20,Hyundai,I20,8.0,15000,Manual,18.5,1197.0,82.9,5,375000,1,0,1,1,0,0,0,Cng,Owner,2018.0,64.70270270270271,0.06925647451963242,1875.0,4.481081081081081
Maruti Swift,Maruti,Swif,10.0,130000,Manual,17.8,1248.0,75.0,5,225000,1,0,1,0,1,0,0,Diesel,Owner,2016.0,70.11235955056179,0.06009615384615385,13000.0,4.213483146067415
Tata Tiago,Tata,Tiago,4.0,32100,Manual,23.84,1197.0,84.0,5,400000,1,0,1,0,0,0,1,Petrol,Owner,2022.0,50.20973154362416,0.07017543859649122,8025.0,3.523489932885906
Hyundai i20,Hyunda,I20,5.0,22000,Manual,18.5,1197.0,82.9,5,550000,1,1,0,0,0,0,1,Petrol,Dealer,2021.0,64.70270270270271,0.06925647451963242,4400.0,4.481081081081081
Mahindra Scorpio,Mahindra,Scorpio,5.0,44000,Manual,19.692493169398904,2159.5,120.0,7,1050000,1,1,0,0,1,0,0,Diesel,Dealer,2021.0,109.66107650379938,0.05556841861542024,8800.0,6.093692604980748
Volkswagen Polo,Volkswagen,Polo,5.0,78000,Manual,18.78,1198.0,74.0,5,450000,1,1,0,0,0,0,1,Petrol,Dealer,2021.0,63.7912673056443,0.06176961602671119,15600.0,3.9403620873269434
Mercedes-Benz C-Class,M3Rcedes-Benz,C-Class,9.0,74352,Automatic,11.74,1796.0,174.52500000000003,5,775000,0,1,0,0,0,0,1,Petrol,Dealer,2017.0,152.98126064735945,0.09717427616926505,8261.333333333334,14.865843270868828
Maruti Wagon R,Maruti,Wagon R,7.0,37000,Manual,20.51,998.0,67.04,5,350000,1,0,1,1,0,0,0,Cng,Owner,2019.0,48.65919063871282,0.06717434869739479,5285.714285714285,3.2686494392979033
Honda City,Hond,City,4.0,69000,Manual,25.1,1498.0,98.6,5,550000,1,1,0,0,1,0,0,Diesel,Dealer,2022.0,59.6812749003984,0.06582109479305741,17250.0,3.928286852589641
Kia Seltos,Kia,Seltos,2.0,12120,Manual,16.8,1497.0,113.4,5,1080000,1,0,1,0,0,0,1,Petrol,Owner,2024.0,89.10714285714285,0.07575150300601202,6060.0,6.75
Maruti Baleno,Maruti,Baleno,5.0,52000,Manual,21.01,1197.0,81.8,5,575000,1,1,0,0,0,0,1,Petrol,Dealer,2021.0,56.97287006187529,0.0683375104427736,10400.0,3.893384102808186
Toyota Innova,Toyot,Innova,5.0,120000,Manual,12.99,2159.5,100.59431352459016,8,950000,1,0,1,0,1,0,0,Diesel,Owner,2021.0,166.24326404926867,0.04658222436887713,24000.0,7.743981025757519
Maruti Alto,Maruti,Alto,8.0,55000,Manual,19.692493169398904,796.0,47.3,5,230000,1,0,1,0,0,0,1,Petrol,Owner,2018.0,40.42149427970563,0.059422110552763814,6875.0,2.401930501796578
Hyundai i20,Hyundai,I20,10.0,130000,Manual,21.9,1396.0,90.0,5,270000,1,0,1,0,1,0,0,Diesel,Owner,2016.0,63.74429223744293,0.06446991404011461,13000.0,4.109589041095891
Ford Figo,Ford,Figo,10.0,40000,Manual,15.6,1196.0,70.0,5,130000,1,0,1,0,0,0,1,Petrol,Owner,2016.0,76.66666666666667,0.05852842809364549,4000.0,4.487179487179487
Maruti Swift Dzire,Marut,Swift Dzire,9.0,46000,Manual,19.1,1197.0,85.8,5,370000,1,1,0,0,0,0,1,Petrol,Dealer,2017.0,62.67015706806282,0.07167919799498747,5111.111111111111,4.492146596858638
Maruti Baleno,Maruti,Baleno,4.0,25000,Manual,21.4,1197.0,83.1,5,570000,1,1,0,1,0,0,0,Cng,Dealer,2022.0,55.93457943925234,0.06942355889724311,6250.0,3.883177570093458
Volkswagen Polo,Maruti,Polo,8.0,90000,Manual,22.07,1199.0,73.9,5,365000,1,1,0,0,1,0,0,Diesel,Dealer,2018.0,54.327140915269595,0.06163469557964971,11250.0,3.348436792025374
Hyundai i20,Hyundai,I20,9.0,49566,Manual,18.5,1197.0,82.85,5,280000,1,1,0,0,0,0,1,Petrol,Dealer,2017.0,64.70270270270271,0.06921470342522974,5507.333333333333,4.478378378378378
Hyundai Verna,Hyundai,Verna,3.0,14000,Automatic,22.0,1582.0,126.2,5,1250000,0,1,0,0,0,0,1,Petrol,Dealer,2023.0,71.9090909090909,0.0797724399494311,4666.666666666667,5.736363636363636
Hyundai i20,Hyundai,I20,5.0,11000,Manual,18.6,1197.0,81.83,5,590000,1,1,0,0,0,0,1,Petrol,Dealer,2021.0,64.35483870967741,0.06836257309941521,2200.0,4.399462365591398
