max_power,power_mileage_ratio,engine,engine_mileage_ratio,power_engine_ratio,seats,km_per_year,km_driven,vehicle_age,mileage,selling_price
174.52500000000003,7.691714411635083,1995.0,87.9241956809167,0.0874812030075188,5,13600.0,68000,5.0,22.69,2090000
113.4,6.75,1497.0,89.10714285714285,0.075751503006012,5,8000.0,8000,1.0,16.8,1275000
74.0,2.605633802816901,1248.0,43.94366197183099,0.0592948717948717,5,10833.333333333334,65000,6.0,28.4,495000
82.0,4.338624338624339,1197.0,63.333333333333336,0.0685045948203842,5,5000.0,25000,5.0,18.9,475000
91.1,4.394597202122528,1373.0,66.23251326579836,0.0663510560815732,5,11666.666666666666,70000,6.0,20.73,530000
100.59431352459016,4.219560131065023,1199.0,50.29362416107383,0.0838985100288491,5,1900.0,9500,5.0,23.84,530000
121.3,7.131099353321575,1591.0,93.53321575543796,0.0762413576367064,5,1516.6666666666667,9100,6.0,17.01,650000
118.0,6.941176470588236,1497.0,88.05882352941177,0.0788243152972612,5,7818.181818181818,86000,11.0,17.0,335000
147.51,8.91299093655589,1968.0,118.91238670694864,0.0749542682926829,5,9750.0,78000,8.0,16.55,1290000
68.0,3.4,1399.0,69.95,0.0486061472480343,5,6000.0,60000,10.0,20.0,300000
81.8,3.8046511627906976,1197.0,55.674418604651166,0.0683375104427736,5,1970.75,7883,4.0,21.5,550000
74.0,3.1623931623931627,1248.0,53.333333333333336,0.0592948717948717,5,6275.625,50205,8.0,23.4,390000
63.0,4.632352941176471,2159.5,158.78676470588235,0.0291734197730956,7,10000.0,130000,13.0,13.6,260000
69.0,2.7935222672064777,1047.0,42.388663967611336,0.0659025787965616,5,14500.0,58000,4.0,24.7,395000
120.0,9.95850622406639,2159.5,179.2116182572614,0.0555684186154202,8,14444.444444444443,130000,9.0,12.05,550000
81.8,3.718181818181818,1197.0,54.40909090909091,0.0683375104427736,5,5000.0,15000,3.0,22.0,650000
74.0,2.605633802816901,1248.0,43.94366197183099,0.0592948717948717,5,14249.0,71245,5.0,28.4,375000
138.0,8.571428571428571,1353.0,84.03726708074534,0.1019955654101995,5,3500.0,7000,2.0,16.1,1300000
67.05,2.799582463465553,998.0,41.67014613778706,0.0671843687374749,5,6666.666666666667,20000,3.0,23.95,360000
67.04,3.099398982894129,998.0,46.13962089690245,0.0671743486973947,5,8700.0,8700,1.0,21.63,505000
47.3,1.91497975708502,796.0,32.22672064777328,0.0594221105527638,5,12500.0,25000,2.0,24.7,310000
81.86,4.401075268817204,1197.0,64.35483870967741,0.0683876357560568,5,7000.0,42000,6.0,18.6,545000
63.0,4.632352941176471,2159.5,158.78676470588235,0.0291734197730956,7,8571.42857142857,120000,14.0,13.6,150000
83.1,4.219882128949168,1197.0,60.78458373468296,0.0694235588972431,5,16666.666666666668,50000,3.0,19.692493169398904,580000
67.1,3.5502645502645502,998.0,52.80423280423281,0.0672344689378757,5,5800.0,58000,10.0,18.9,250000
105.5,6.052782558806656,1396.0,80.09179575444635,0.0755730659025788,5,9000.0,36000,4.0,17.43,650000
88.5,3.474676089517079,1248.0,48.99882214369847,0.0709134615384615,7,10000.0,30000,3.0,25.47,410000
98.59,4.329819938515591,1498.0,65.788317962231,0.0658144192256341,5,21666.666666666668,130000,6.0,22.77,531000
